registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2010-05-27,0.298011,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-05-03,1.996112,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-04-19,0.545636,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-04-15,0.111235,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-06-10,0.015584,RUB,skill_fill_yahoo,yahoo_ex_div,
2015-06-15,0.003243,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-06-09,0.146965,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-06-21,0.360949,RUB,skill_fill_yahoo,yahoo_ex_div,
2019-07-08,0.5279882277,RUB,moex_iss,,
2020-06-04,0.6153564541,RUB,moex_iss,,
2021-06-03,1.4517042651,RUB,moex_iss,,
2022-06-09,2.4041145796,RUB,moex_iss,,
2023-06-01,3.5959466942,RUB,moex_iss,,
2024-06-10,4.2158648522,RUB,moex_iss,,
2025-06-18,3.9385335533,RUB,moex_iss,,
