registry_close,amount,currency,source,registry_close_source
2011-05-20,0.4,RUB,skill_fill_yahoo,yahoo_ex_div
2012-09-28,0.4,RUB,skill_fill_yahoo,yahoo_ex_div
2013-11-21,0.4,RUB,skill_fill_yahoo,yahoo_ex_div
2017-07-12,0.43,RUB,skill_fill_yahoo,yahoo_ex_div
2018-07-04,0.43,RUB,moex_iss,
2019-07-11,0.43,RUB,moex_iss,
2020-08-31,0.86,RUB,skill_fill_yahoo,yahoo_ex_div
2020-09-01,0.43,RUB,moex_iss,
2021-07-18,0.65,RUB,moex_iss,
2022-07-04,0.78,RUB,moex_iss,
2023-07-07,0.8,RUB,moex_iss,
2024-07-10,0.8,RUB,moex_iss,
2025-07-01,0.84,RUB,moex_iss,
