registry_close,amount,currency,source,registry_close_source
2007-04-10,13.0,RUB,skill_fill_tbank,tbank_reestr
2007-08-16,13.0,RUB,skill_fill_tbank,tbank_reestr
2007-11-02,12.0,RUB,skill_fill_tbank,tbank_reestr
2008-05-12,40.0,RUB,skill_fill_tbank,tbank_reestr
2008-08-12,40.0,RUB,skill_fill_tbank,tbank_reestr
2010-04-09,25.0,RUB,skill_fill_tbank,tbank_reestr
2010-04-12,27.56878,RUB,skill_fill_yahoo,yahoo_ex_div
2011-04-07,44.11005,RUB,skill_fill_yahoo,yahoo_ex_div
2011-04-08,40.0,RUB,skill_fill_tbank,tbank_reestr
2011-08-31,142.25491,RUB,skill_fill_yahoo,yahoo_ex_div
2011-09-01,129.0,RUB,skill_fill_tbank,tbank_reestr
2012-05-11,50.72656,RUB,skill_fill_yahoo,yahoo_ex_div
2012-11-09,50.72656,RUB,skill_fill_yahoo,yahoo_ex_div
2012-11-12,46.0,RUB,skill_fill_tbank,tbank_reestr
2013-04-11,110.0,RUB,skill_fill_tbank,tbank_reestr
2013-04-12,71.67883,RUB,skill_fill_yahoo,yahoo_ex_div
2014-06-09,152.0,RUB,moex_iss,
2015-06-02,139.0,RUB,moex_iss,
2016-06-14,180.0,RUB,moex_iss,
2016-09-20,155.0,RUB,moex_iss,
2017-07-11,95.0,RUB,moex_iss,
2017-09-26,235.0,RUB,moex_iss,
2018-01-23,112.0,RUB,moex_iss,
2018-06-14,185.0,RUB,moex_iss,
2018-10-30,40.0,RUB,moex_iss,
2019-03-22,130.0,RUB,moex_iss,
2019-06-11,135.0,RUB,moex_iss,
2019-12-11,101.0,RUB,moex_iss,
2020-04-14,157.0,RUB,moex_iss,
2020-06-09,275.0,RUB,moex_iss,
2021-06-08,30.0,RUB,moex_iss,
2021-10-11,30.0,RUB,moex_iss,
2021-12-14,720.0,RUB,moex_iss,
2022-03-09,240.0,RUB,moex_iss,
2024-05-19,427.0,RUB,moex_iss,
2025-06-09,107.0,RUB,moex_iss,
2025-06-09,427.0,RUB,skill_fill_disclosure,
2025-12-09,189.0,RUB,skill_fill_disclosure,
