registry_close,amount,currency,source,registry_close_source
2008-05-17,0.25,RUB,skill_fill_tbank,tbank_reestr
2010-05-14,0.055,RUB,skill_fill_tbank,tbank_reestr
2011-05-18,0.26,RUB,skill_fill_tbank,tbank_reestr
2012-05-18,0.28,RUB,skill_fill_yahoo,yahoo_ex_div
2013-05-17,0.96,RUB,skill_fill_yahoo,yahoo_ex_div
2014-07-17,2.06,RUB,moex_iss,
2015-07-16,0.47,RUB,moex_iss,
2016-07-14,0.67,RUB,moex_iss,
2016-10-07,0.38,RUB,moex_iss,
2017-07-13,0.81,RUB,moex_iss,
2017-12-08,0.68,RUB,moex_iss,
2018-07-19,0.11,RUB,moex_iss,
2019-07-18,0.11,RUB,moex_iss,
2020-07-16,0.13,RUB,moex_iss,
2021-07-15,0.31,RUB,moex_iss,
2023-07-19,0.41,RUB,moex_iss,
2024-07-17,0.52,RUB,moex_iss,
