registry_close,amount,currency,source,registry_close_source
2005-10-19,3.0,RUB,skill_fill_tbank,tbank_reestr
2006-04-21,4.0,RUB,skill_fill_tbank,tbank_reestr
2006-08-07,3.6,RUB,skill_fill_tbank,tbank_reestr
2006-11-16,2.0,RUB,skill_fill_tbank,tbank_reestr
2007-04-27,5.0,RUB,skill_fill_tbank,tbank_reestr
2007-05-18,2.6,RUB,skill_fill_tbank,tbank_reestr
2007-08-20,10.0,RUB,skill_fill_tbank,tbank_reestr
2007-11-14,2.5,RUB,skill_fill_tbank,tbank_reestr
2008-05-15,4.0,RUB,skill_fill_tbank,tbank_reestr
2008-05-15,5.2,RUB,skill_fill_tbank,tbank_reestr
2008-08-20,18.35,RUB,skill_fill_tbank,tbank_reestr
2008-11-14,7.17,RUB,skill_fill_tbank,tbank_reestr
2010-11-11,4.0326,RUB,skill_fill_yahoo,yahoo_ex_div
2010-11-12,4.29,RUB,skill_fill_tbank,tbank_reestr
2011-05-22,2.42,RUB,skill_fill_tbank,tbank_reestr
2011-05-22,3.9,RUB,skill_fill_tbank,tbank_reestr
2011-05-23,6.32,RUB,skill_fill_yahoo,yahoo_ex_div
2011-08-24,4.37,RUB,skill_fill_yahoo,yahoo_ex_div
2011-11-14,3.36,RUB,skill_fill_yahoo,yahoo_ex_div
2012-05-15,3.56,RUB,skill_fill_tbank,tbank_reestr
2012-05-15,4.07,RUB,skill_fill_tbank,tbank_reestr
2012-05-15,7.63,RUB,skill_fill_yahoo,yahoo_ex_div
2012-08-09,1.52,RUB,skill_fill_yahoo,yahoo_ex_div
2012-11-12,3.18,RUB,skill_fill_yahoo,yahoo_ex_div
2013-04-26,0.43,RUB,skill_fill_tbank,tbank_reestr
2013-04-26,1.89,RUB,skill_fill_tbank,tbank_reestr
2013-04-29,2.32,RUB,skill_fill_yahoo,yahoo_ex_div
2013-08-12,2.03,RUB,moex_iss,
2013-10-31,2.01,RUB,moex_iss,
2014-06-23,2.43,RUB,moex_iss,
2014-06-23,3.83,RUB,skill_fill_dohod,
2014-09-22,2.14,RUB,moex_iss,
2014-11-25,54.46,RUB,moex_iss,
2015-06-05,12.81,RUB,moex_iss,
2015-06-05,14.65,RUB,skill_fill_dohod,
2015-09-28,12.63,RUB,moex_iss,
2015-12-21,13.17,RUB,moex_iss,
2016-07-05,8.25,RUB,moex_iss,
2016-07-05,20.27,RUB,skill_fill_dohod,
2016-09-02,19.66,RUB,moex_iss,
2016-09-16,19.66,RUB,moex_iss,
2016-12-13,24.96,RUB,moex_iss,
2017-06-20,24.44,RUB,moex_iss,
2017-06-20,27.73,RUB,skill_fill_dohod,
2017-09-26,22.28,RUB,moex_iss,
2017-12-05,35.61,RUB,moex_iss,
2018-06-19,27.72,RUB,skill_fill_dohod,
2018-06-19,38.32,RUB,moex_iss,
2018-09-25,45.94,RUB,moex_iss,
2018-12-04,44.39,RUB,moex_iss,
2019-05-07,32.08,RUB,moex_iss,
2019-06-18,35.43,RUB,moex_iss,
2019-09-17,26.72,RUB,moex_iss,
2019-12-03,27.47,RUB,moex_iss,
2020-06-16,26.26,RUB,moex_iss,
2020-06-16,27.35,RUB,skill_fill_dohod,
2020-09-08,15.44,RUB,moex_iss,
2020-12-08,37.34,RUB,moex_iss,
2021-05-31,83.04,RUB,skill_fill_yahoo,yahoo_ex_div
2021-06-01,36.27,RUB,moex_iss,
2021-06-01,46.77,RUB,skill_fill_dohod,
2021-09-02,84.45,RUB,moex_iss,
2021-12-14,85.93,RUB,moex_iss,
2024-06-18,38.3,RUB,skill_fill_dohod,
2024-06-18,191.51,RUB,moex_iss,
2024-09-10,31.06,RUB,moex_iss,
2024-12-17,49.06,RUB,moex_iss,
