registry_close,amount,currency,source,registry_close_source
2014-07-19,1.15,RUB,manual_disclosure,
2014-11-28,2.204,RUB,manual_disclosure,
2015-07-19,1.1354,RUB,manual_disclosure,
2015-12-15,2.8871,RUB,manual_disclosure,
2016-07-17,1.77,RUB,manual_disclosure,
2016-12-12,4.22,RUB,manual_disclosure,
2017-07-17,3.48,RUB,moex_iss,
2017-12-04,2.97,RUB,moex_iss,
2017-12-15,2.97,RUB,moex_iss,
2018-05-29,3.88,RUB,moex_iss,
2018-12-26,4.39,RUB,moex_iss,
2019-05-27,4.45,RUB,moex_iss,
2019-12-17,5.06,RUB,moex_iss,
2020-07-11,3.0,RUB,moex_iss,
2020-09-29,2.5,RUB,moex_iss,
2020-12-28,5.08,RUB,moex_iss,
2021-07-11,6.07,RUB,moex_iss,
2021-12-26,5.2,RUB,moex_iss,
