registry_close,amount,currency,source,registry_close_source
2019-07-11,14.08,RUB,moex_iss,
2019-09-25,33.0,RUB,moex_iss,
2019-12-31,11.0,RUB,moex_iss,
2020-07-03,18.5,RUB,moex_iss,
2020-07-23,17.5,RUB,moex_iss,
2020-10-12,10.0,RUB,moex_iss,
2021-01-11,27.0,RUB,moex_iss,
2021-06-09,28.6,RUB,moex_iss,
2021-10-05,45.0,RUB,moex_iss,
2022-01-05,23.5,RUB,moex_iss,
2022-06-21,18.0,RUB,moex_iss,
2022-10-17,53.0,RUB,moex_iss,
2023-07-10,27.22,RUB,moex_iss,
2023-09-25,42.0,RUB,moex_iss,
2023-12-25,20.0,RUB,moex_iss,
2024-06-24,2.2,RUB,moex_iss,
2024-09-16,5.0,RUB,moex_iss,
2024-12-17,2.7,RUB,moex_iss,
2025-06-16,2.4,RUB,moex_iss,
2025-09-29,5.0,RUB,skill_fill_yahoo,yahoo_ex_div
2025-12-30,3.0,RUB,skill_fill_yahoo,yahoo_ex_div
