registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2014-07-10,64.51,RUB,skill_fill_disclosure,,
2015-07-13,16.13,RUB,moex_iss,,
2015-12-22,64.51,RUB,moex_iss,,
2016-07-11,8.06,RUB,moex_iss,,
2016-07-11,48.38,RUB,skill_fill_disclosure,,
2016-12-20,24.19,RUB,moex_iss,,
2017-07-11,32.25,RUB,moex_iss,,
2021-10-04,112.9,RUB,moex_iss,,
2022-12-10,274.2,RUB,moex_iss,,
2023-05-01,16.13,RUB,moex_iss,,
2023-11-20,16.13,RUB,moex_iss,,
2024-06-17,20.97,RUB,moex_iss,,
2024-08-27,24.2,RUB,moex_iss,,
2024-12-09,118.55,RUB,moex_iss,,
2025-04-21,25.33,RUB,moex_iss,,
2025-07-07,6.46,RUB,moex_iss,,
