registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2015-12-20,14.79,RUB,manual_disclosure,,
2016-06-24,2.61,RUB,manual_disclosure,,
2016-12-21,9.46,RUB,manual_disclosure,,
2017-07-10,2.36,RUB,manual_disclosure,,
2017-09-08,7.41,RUB,manual_disclosure,,
2017-12-15,6.8,RUB,manual_disclosure,,
2018-06-26,5.66,RUB,manual_disclosure,,
2018-12-17,17.75,RUB,moex_iss,,
2019-07-09,6.96,RUB,moex_iss,,
2020-01-15,6.36,RUB,moex_iss,,
2020-07-27,0.96,RUB,moex_iss,,
2021-01-14,10.92,RUB,moex_iss,,
2021-07-12,6.27,RUB,moex_iss,,
2021-10-11,9.5,RUB,moex_iss,,
2022-07-11,8.24,RUB,moex_iss,,
2023-07-12,14.62,RUB,moex_iss,,
2024-01-08,29.75,RUB,moex_iss,,
2024-07-12,6.93,RUB,moex_iss,,
2024-10-07,22.19,RUB,moex_iss,,
2024-12-16,17.12,RUB,moex_iss,,
2025-06-30,8.17,RUB,moex_iss,,
2025-10-10,6.54,RUB,skill_fill_disclosure,,
2025-12-20,9.0,RUB,skill_fill_disclosure,,
